% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=867434, Mon Nov  1 10:28:43 2021, <python>{}</python>
1 10 0.9171531135397799 0 0 0.9132175465742401 0.9187609399732687 0.9328052355983916 0.9148034710007602 0.886676064840834 0.877669118404403 0.8848864740380621 0.942173136869745 0.9199097132184607
2 20 0.8748984185105708 0 0 0.8706220735526599 0.8397586482941737 0.9012344919668893 0.8400262872054136 0.8283998986964299 0.842148437012714 0.8425472059728969 0.886679009933607 0.9044585318374065
3 30 0.8232644140030434 0 0 0.7593971133213349 0.7708341023606372 0.8440131011802209 0.7899404299416894 0.8095266475873284 0.7683486505208035 0.7907044972109075 0.8271074310159162 0.8502398754967129
4 40 0.82113477283779 0 0 0.7549807775381162 0.7586505142397475 0.8248636990131388 0.7737144454714815 0.8070748059219294 0.7594346020048927 0.7814275342450621 0.8049533148518749 0.8811085591096817
5 50 0.7747913160252545 0 0 0.6957730827980873 0.7046683676153714 0.7914173706387255 0.709402031803779 0.741199340012417 0.7197573647281736 0.7371650653583036 0.7832017455720719 0.8405205913206008
6 60 0.706225502102052 0 0 0.6085085822604095 0.6432804883688487 0.712217455081355 0.6437737714764284 0.653107021254524 0.6494408213376553 0.6863801900942473 0.6901284291722927 0.7653515851294983
7 70 0.7443443274762153 0 0 0.6021377147100839 0.671771407218521 0.757268294946666 0.6711757184608711 0.7396730013782402 0.6762185286426603 0.715299094657943 0.7378036883303395 0.8576876630537307
8 80 0.7360932752051808 0 0 0.5975271257000044 0.6709921681379105 0.7493060563371794 0.6409932834214619 0.7385723100043922 0.647476996737053 0.7077543403843546 0.7283471804086622 0.8604877295522982
9 90 0.7158429016889835 0 0 0.582631009784457 0.6667814913567279 0.7203089327468697 0.6163196042633345 0.7043503512993785 0.6113777438971968 0.7014316872436599 0.7061566204914625 0.8572329556646042
10 100 0.7159452403802857 0 0 0.5788864223647924 0.6582472880722449 0.7000222223811003 0.5976696007668788 0.7188512349596607 0.6214289669646118 0.7115783241066498 0.7044859017651116 0.8732508020116274
11 110 0.6820798334787959 0 0 0.5296726683935888 0.6214751926747759 0.6697280934453269 0.5714961335998215 0.6768534979534018 0.5769947104912388 0.6902658493009461 0.6683182494238145 0.8284327708529086
12 120 0.6631328620819901 0 0 0.49899240514427334 0.5966101213770502 0.6477701027326906 0.5581891858902074 0.6518951609155794 0.572407980385866 0.6803690465939005 0.6546838615803912 0.794103045839512
13 130 0.6009004069003371 0 0 0.4492103601383854 0.5388004616786966 0.5851239123154945 0.49590370184413546 0.5855152916224753 0.5180447947653892 0.6049347074610293 0.5896244426666936 0.704763170008389
14 140 0.5967615126363823 0 0 0.44690787412580496 0.5845291786012669 0.5715357851134991 0.4905057600650149 0.5917673408479823 0.5082719677864497 0.5869931260551174 0.5844036055045674 0.6976821760941723
15 150 0.6046892255507668 0 0 0.43480837898842256 0.5841954702983454 0.5910039537718276 0.5011810759644885 0.6183954240032843 0.5124922379449793 0.5905429664676716 0.5972342718555603 0.72492725296584
16 160 0.6134460212527522 0 0 0.4406049892288937 0.5836223061020196 0.5974154586405969 0.521757894902066 0.6300002838084662 0.5117587392688533 0.5907548694816374 0.5865860735964022 0.7336114553474825
17 170 0.6325407681316838 0 0 0.4558462848733759 0.5974972641878237 0.6244433592015387 0.5561103261004517 0.6507256294651622 0.5166301009261317 0.6095155148738657 0.5982119021170001 0.7397527314543821
18 180 0.6537534658577128 0 0 0.46176738313807003 0.5851321248938222 0.6640874163323295 0.5678769642044885 0.6561486728839802 0.5521074353091958 0.6325906487897225 0.6433685905953722 0.7713661174805079
19 190 0.6282172664665202 0 0 0.44680918575598544 0.5638298772783935 0.6319809653750996 0.5272771830287756 0.6299436884252236 0.5293207505305433 0.6217001661554148 0.6408255879023078 0.7379200222216643
20 200 0.6251664358916321 0 0 0.4429453201788275 0.5697291228855093 0.6322206997544737 0.5265157634571092 0.6177056790957938 0.524215698171432 0.6268002877717295 0.6351354321954038 0.7425971227929686
21 210 0.610711609067753 0 0 0.42389237716577055 0.5508408584494938 0.6192194619270697 0.5072034877692485 0.5909344076927173 0.5176514954736303 0.6108153163560804 0.6206543428887783 0.7416991434340413
22 220 0.6352411266392456 0 0 0.4352259009342341 0.5730883033846439 0.6723148751060962 0.5496141841155988 0.6034343110443857 0.5295648144518952 0.622821252359431 0.637420991438589 0.7660688541671692
23 230 0.6422834167997614 0 0 0.4289091244574416 0.5861216085961094 0.6839414697047205 0.5635334811017857 0.5941645499961601 0.5286441901121056 0.6314340213269022 0.6319933546354113 0.7798978226588155
24 240 0.6279273466965665 0 0 0.39536594819272897 0.5648542359309937 0.6594841422249005 0.5476379553327769 0.5939486376776885 0.5121287378100505 0.6365212067029054 0.6159304053028638 0.7453668540649817
25 250 0.6323242269211985 0 0 0.4010189288035424 0.5353956606197063 0.6767188385428516 0.5405260316908665 0.6191370521544151 0.5082341513072158 0.6377688894811923 0.625706726899124 0.7476613306002537
26 260 0.6403181852277637 0 0 0.39488855614249185 0.5247179275604229 0.710431977250669 0.5577420598650386 0.7205564422330518 0.5160786178588473 0.6609563866213208 0.6301924316031733 0.7418246869474121
27 270 0.6119060437574384 0 0 0.37928353766733675 0.5150883776567848 0.6597684633282692 0.5428794428621914 0.6937502783603431 0.49177900670079167 0.6490788238440316 0.5711572387924154 0.7215868088476355
28 280 0.5272195891181194 0 0 0.32968675728220237 0.4388433509999175 0.5626561825607955 0.46178472682503013 0.5995889731143241 0.4215909668115476 0.5491862664624483 0.47965274420435716 0.6215252553811628
29 290 0.4979168600998045 0 0 0.3105349659075848 0.41553382560486035 0.5264607647865687 0.43176076627198284 0.5770495826912001 0.40177369327165413 0.5301284594027063 0.4400099440069476 0.5849670260417921
30 300 0.4778049562313795 0 0 0.3004611271272323 0.38791226460856293 0.5043455824919216 0.40897861057445206 0.5695329691609516 0.3834455398507797 0.5182617646313477 0.41662303981699395 0.5515716307891594
31 310 0.5055582152125017 0 0 0.3201958518413125 0.4052757572258947 0.532566741061988 0.43589477406014016 0.6269167556050669 0.40543844388975886 0.5474402873933182 0.42986130717752 0.5752447577313791
32 320 0.45781880094987776 0 0 0.2743256102057143 0.34972305744972226 0.4725397409468751 0.39570427863908414 0.566202780465911 0.36363652725604884 0.49257457703717383 0.3913631813158339 0.5141423672185925
33 330 0.4411994166303695 0 0 0.2650375930526814 0.33437440020341397 0.4522996562769847 0.37481864981138513 0.5423974258709036 0.3414471043883561 0.47595125291027035 0.3733626504695903 0.5141442924628249
34 340 0.4336973460661763 0 0 0.2509501499439177 0.3221892218533042 0.44863304909127905 0.3711202429678007 0.5278129645984379 0.3343638915060194 0.4845170536360272 0.363768113647961 0.5109424628759127
35 350 0.47028837709158355 0 0 0.26922336700676874 0.34883376538520267 0.47621435531054396 0.39435060342645245 0.587900914738815 0.36678239359851716 0.5549366136027135 0.39105393417388723 0.5808004565391495
36 360 0.49657482188365165 0 0 0.2821331294067997 0.3679174074701097 0.5112579227609255 0.4199530653294549 0.6402982896729095 0.40450157516970675 0.6136693163038889 0.40747569946678136 0.6102050251687159
37 370 0.5387712915651578 0 0 0.3073305732539581 0.4207122032650273 0.5652935085568834 0.476889766940598 0.6822865751474254 0.4703216721420863 0.6650699052459079 0.40568059466567674 0.6560155230036757
38 380 0.5338908117041296 0 0 0.306453943621274 0.4169999328796356 0.5618775372406437 0.47615713513852914 0.6885597960541645 0.4591622754895293 0.6570473866973207 0.38753950163178297 0.6460132516866067
39 390 0.5429345910783331 0 0 0.3089083072339282 0.4147276887161805 0.5743882398985409 0.4758577541546244 0.6846036334462758 0.4520097369032842 0.6693052625390058 0.39627497683767177 0.6808370782127944
40 400 0.5601137614795516 0 0 0.32971908453571347 0.43095842433452497 0.5817648906398576 0.513474771613083 0.713858678495347 0.46727219619101346 0.6853318419204257 0.3969506579665457 0.7185171806482731
41 410 0.5392629535017189 0 0 0.3168315683020298 0.4215508557337165 0.5546301031215779 0.5069088616990831 0.6761645666507835 0.4591356302859605 0.6564003307587661 0.3739583970565771 0.7248045261354698
42 420 0.5383682322815271 0 0 0.31589393595945353 0.4466008238933872 0.5459609740877691 0.5049163227613286 0.6993454997628883 0.48528278169116523 0.6611106324085174 0.36459772373001104 0.7241756327991211
43 430 0.4678903096490516 0 0 0.27751040130365084 0.39050199279206055 0.47003690760961103 0.43468741185914395 0.6203986739451808 0.42460066636519267 0.5772096660697711 0.30483338995372283 0.6238618180660551
44 440 0.46554878548137985 0 0 0.27063585266557477 0.38193048065191904 0.46901326005752453 0.41594162179101 0.6141301764073114 0.42481451594088016 0.5961797303827564 0.295826497541606 0.6342727931817748
45 450 0.4496126449138785 0 0 0.2554081300334733 0.3620767864666923 0.4713198129612997 0.39818001063591607 0.6031170762582474 0.4104288521300657 0.5722327999433313 0.27761037948440376 0.6116493622887124
46 460 0.4962643964565295 0 0 0.27859166323030227 0.41275591605921835 0.5482558755736243 0.44627974186147856 0.6683383703717414 0.4928130706156904 0.6329509473329316 0.30757220521870265 0.6998984752689852
47 470 0.4994749778764102 0 0 0.2746577965117145 0.4290773899626872 0.5612166595820924 0.437544679268861 0.6670072755561965 0.5058924201582854 0.6077590696444973 0.30713463607452973 0.7234914494479305
48 480 0.4613285064692848 0 0 0.25180816424441393 0.394848355478102 0.5290635268051337 0.4009248943889044 0.6068695686487257 0.45266382558424173 0.5547820084570639 0.2718095826607831 0.654575224711795
49 490 0.45740195878048284 0 0 0.23956139204616564 0.38693274186403487 0.5193146637562395 0.404110838767065 0.6055779547449051 0.4503189008340254 0.5367260897349251 0.2590716295298898 0.6679632646810949
50 500 0.45507250078565187 0 0 0.2341468002556087 0.37998128911969953 0.5094270207839494 0.41041222979523584 0.5939458711611009 0.43966045344053445 0.539311135336184 0.2535471150907989 0.6482668406698973
51 510 0.4243989504443818 0 0 0.2176053874789806 0.348994283184115 0.4665904462034832 0.3878087926234651 0.5539494480804704 0.40588841762626404 0.504069799932052 0.23356279950340886 0.6070652718980075
52 520 0.40887412308931964 0 0 0.2068515587943189 0.3370579233329926 0.4576020688943545 0.3798237129103266 0.5241896665126532 0.3824041098421531 0.486155976616028 0.2215622825935159 0.5941858501866539
53 530 0.424033833861427 0 0 0.22401815031698902 0.3655413272376018 0.4858005727633781 0.3938829826830188 0.552327327116444 0.40458532374092937 0.5199986842330624 0.22261859680519677 0.6184209375127574
54 540 0.44641360291710075 0 0 0.2372019941821619 0.3836721354053176 0.5064335319721777 0.4121396245775282 0.5798924861049989 0.4173647037451526 0.5536067096817274 0.22942621428469562 0.6798552949920778
55 550 0.4421364738323065 0 0 0.23228908379129884 0.3626232131008537 0.4947983248513243 0.41096698381467456 0.5938988837802298 0.4045076363057681 0.5302598031672519 0.22448688296105976 0.6811245927398955
56 560 0.44559207813060364 0 0 0.2322510624004051 0.37272569734536726 0.505877818617115 0.4118952591120976 0.6326954585411082 0.40877704193756326 0.5217730437854602 0.21360714927738822 0.6931924633871945
57 570 0.465011131494511 0 0 0.24100100961830626 0.38280681498103847 0.5500282710072218 0.43806708235185826 0.6966149845722037 0.42445531046703006 0.5411889843193892 0.21628219258418033 0.7160446897620799
58 580 0.46487747869245905 0 0 0.23816843348322697 0.39438190158948305 0.5581694175886316 0.43088370291732025 0.72556490350632 0.42845070067972524 0.5240681640206768 0.2116362903067417 0.7218557753717827
59 590 0.4648475846274353 0 0 0.2314802766418924 0.3973440971953842 0.5573251301234267 0.4242778241235456 0.7369446786197282 0.4230899446209297 0.5160523198928195 0.19962005689558177 0.7183286865394536
60 600 0.4823742490690217 0 0 0.2406495523147366 0.4230967127680434 0.5958807191853076 0.43091433394189044 0.7898295170266977 0.4329856659806849 0.5366506504842598 0.1987244832277673 0.7794177334244661
